DBN,School Name,School Code,,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
13K256,P.S. 256 Benjamin Banneker,K256,K,352.80,758.25,526.00,232.25,3.00,0.01,168.00,0.69,66.00,0.27,1.00,0.00,7.00,0.03,0.97,44.00,0.18,28.00,0.11,239.00,0.98,0.89,245.00,3.09
20K445,New Utrecht High School,K445,K,11600.00,10380.00,9150.00,12830.00,1393.00,0.41,97.00,0.03,1034.00,0.30,45.00,0.01,858.00,0.25,0.75,563.00,0.16,679.00,0.20,2703.00,0.79,0.78,3427.00,3.03
08X075,P.S. 75 School of Research and Discovery,X075,X,339.15,1778.29,706.57,1071.72,8.00,0.01,133.00,0.23,424.00,0.72,6.00,0.01,17.00,0.03,0.97,118.00,0.20,90.00,0.15,489.00,0.83,0.91,588.00,3.02
75Q233,P.S. Q233,Q233,Q,3376.52,1529.00,6038.54,4670.28,85.00,0.17,161.00,0.32,151.00,0.30,34.00,0.07,78.00,0.15,0.85,507.00,1.00,133.00,0.26,431.00,0.85,0.86,509.00,3.00
29Q132,P.S. 132 Ralph Bunche,Q132,Q,933.63,1080.63,211.00,869.63,4.00,0.01,325.00,0.90,27.00,0.08,4.00,0.01,2.00,0.01,0.99,72.00,0.20,14.00,0.04,276.00,0.76,0.62,362.00,2.99
06M143,J.H.S. 143 Eleanor Roosevelt,M143,M,257.44,715.00,686.78,285.66,3.00,0.01,8.00,0.03,223.00,0.90,3.00,0.01,10.00,0.04,0.96,76.00,0.31,145.00,0.59,223.00,0.90,0.92,247.00,2.89
75X811,P.S. X811,X811,X,1823.70,1823.70,50.00,1773.70,20.00,0.03,218.00,0.34,366.00,0.58,7.00,0.01,23.00,0.04,0.96,632.00,1.00,241.00,0.38,589.00,0.93,0.96,634.00,2.88
27Q105,P.S. 105 The Bay School,Q105,Q,512.00,2389.00,2186.61,202.39,26.00,0.03,500.00,0.60,285.00,0.34,13.00,0.02,8.00,0.01,0.99,251.00,0.30,41.00,0.05,735.00,0.88,0.93,832.00,2.87
75M094,P.S. M094,M094,M,14141.70,1185.05,7092.64,7049.00,31.00,0.08,124.00,0.30,185.00,0.45,5.00,0.01,68.00,0.17,0.84,413.00,1.00,75.00,0.18,337.00,0.82,0.85,413.00,2.87
24Q264,Academy of Finance and Enterprise,Q264,Q,3329.13,1835.00,813.55,4350.58,163.00,0.25,29.00,0.05,329.00,0.51,27.00,0.04,101.00,0.16,0.84,83.00,0.13,37.00,0.06,524.00,0.81,0.68,649.00,2.83
27Q123,P.S. 123,Q123,Q,1852.84,1852.84,1852.84,0.00,80.00,0.12,375.00,0.56,126.00,0.19,69.00,0.10,18.00,0.03,0.97,125.00,0.19,46.00,0.07,554.00,0.83,0.66,668.00,2.77
24Q610,Aviation Career & Technical Education High School,Q610,Q,1868.82,5772.18,3605.36,2166.82,769.00,0.37,83.00,0.04,960.00,0.46,83.00,0.04,193.00,0.09,0.91,293.00,0.14,60.00,0.03,1281.00,0.61,0.65,2088.00,2.76
10X363,Academy For Personal Leadership And Excellence,X363,X,20.00,1600.00,1620.00,0.00,11.00,0.02,63.00,0.11,495.00,0.85,6.00,0.01,7.00,0.01,0.99,159.00,0.27,183.00,0.31,533.00,0.92,0.93,582.00,2.75
32K562,Evergreen Middle School for Urban Exploration,K562,K,0.00,1000.00,0.00,1000.00,3.00,0.01,81.00,0.22,279.00,0.75,0.00,0.00,7.00,0.02,0.98,84.00,0.23,61.00,0.17,350.00,0.95,0.90,370.00,2.70
29Q272,George Washington Carver High School for the Sciences,Q272,Q,1109.28,1109.29,20.00,1089.29,18.00,0.04,306.00,0.73,63.00,0.15,25.00,0.06,5.00,0.01,0.99,71.00,0.17,21.00,0.05,298.00,0.72,0.60,417.00,2.66
24Q014,P.S. 014 Fairview,Q014,Q,4832.32,4057.00,5584.60,3304.72,91.00,0.06,35.00,0.02,1411.00,0.90,10.00,0.01,27.00,0.02,0.98,286.00,0.18,539.00,0.34,1286.00,0.82,0.86,1574.00,2.58
27Q400,August Martin High School,Q400,Q,0.00,800.00,0.00,800.00,40.00,0.13,205.00,0.66,46.00,0.15,16.00,0.05,4.00,0.01,0.99,72.00,0.23,19.00,0.06,241.00,0.78,0.72,311.00,2.57
17K249,P.S. 249 The Caton,K249,K,114.00,2193.35,1999.35,194.00,60.00,0.07,370.00,0.42,397.00,0.45,13.00,0.02,38.00,0.04,0.96,157.00,0.18,191.00,0.22,632.00,0.72,0.77,878.00,2.50
17K092,P.S. 092 Adrian Hegeman,K092,K,0.00,1036.38,988.41,47.97,47.00,0.11,285.00,0.69,62.00,0.15,12.00,0.03,9.00,0.02,0.98,91.00,0.22,82.00,0.20,363.00,0.88,0.81,415.00,2.50
18K114,P.S. 114 Ryder Elementary,K114,K,27.88,1285.13,420.00,893.01,12.00,0.02,405.00,0.79,69.00,0.13,5.00,0.01,24.00,0.05,0.95,118.00,0.23,70.00,0.14,393.00,0.76,0.79,515.00,2.50
12X150,P.S. 150 Charles James Fox,X150,X,1917.09,1917.09,467.19,1449.96,7.00,0.01,161.00,0.21,592.00,0.76,3.00,0.00,18.00,0.02,0.98,175.00,0.22,184.00,0.24,727.00,0.93,0.93,781.00,2.45
10X020,"PS/MS 20 P.O.George J. Werdann, III",X020,X,949.53,2254.50,2115.15,1088.88,82.00,0.08,113.00,0.11,726.00,0.74,17.00,0.02,50.00,0.05,0.95,278.00,0.28,250.00,0.25,950.00,0.96,0.88,988.00,2.28
29Q095,P.S. 095 Eastwood,Q095,Q,1500.00,3250.00,3150.00,100.00,617.00,0.43,143.00,0.10,572.00,0.40,89.00,0.06,20.00,0.01,0.99,173.00,0.12,294.00,0.20,991.00,0.69,0.74,1441.00,2.26
17K537,High School for Youth and Community Development at Erasmus,K537,K,873.01,1038.01,0.00,1038.01,18.00,0.04,365.00,0.78,68.00,0.15,5.00,0.01,11.00,0.02,0.98,116.00,0.25,41.00,0.09,368.00,0.79,0.77,467.00,2.22
19K149,P.S. 149 Danny Kaye,K149,K,163.50,1396.23,1233.18,163.05,21.00,0.03,383.00,0.60,219.00,0.34,6.00,0.01,9.00,0.01,0.99,129.00,0.20,44.00,0.07,597.00,0.94,0.90,638.00,2.19
20K505,Franklin Delano Roosevelt High School,K505,K,1702.00,7031.00,6483.39,547.61,1234.00,0.38,321.00,0.10,1083.00,0.34,39.00,0.01,537.00,0.17,0.83,458.00,0.14,1065.00,0.33,2501.00,0.78,0.86,3214.00,2.19
25Q285,World Journalism Preparatory: A College Board School,Q285,Q,3997.82,1265.98,2704.95,2558.85,97.00,0.17,22.00,0.04,221.00,0.38,18.00,0.03,224.00,0.39,0.62,104.00,0.18,11.00,0.02,349.00,0.60,0.45,582.00,2.18
28Q328,High School for Community Leadership,Q328,Q,0.00,1008.57,0.00,1008.57,106.00,0.23,163.00,0.35,130.00,0.28,43.00,0.09,22.00,0.05,0.95,71.00,0.15,69.00,0.15,356.00,0.77,0.68,464.00,2.17
24Q585,Maspeth High School,Q585,Q,1995.12,2620.00,4.00,4611.12,211.00,0.17,20.00,0.02,562.00,0.46,84.00,0.07,335.00,0.28,0.72,191.00,0.16,36.00,0.03,666.00,0.55,0.54,1212.00,2.16
02M427,Manhattan Academy For Arts & Language,M427,M,1430.17,500.00,500.00,1430.17,2.00,0.01,5.00,0.02,221.00,0.95,0.00,0.00,5.00,0.02,0.98,28.00,0.12,157.00,0.67,228.00,0.98,0.96,233.00,2.15
05M194,P.S. 194 Countee Cullen,M194,M,391.25,391.25,200.00,191.25,2.00,0.01,109.00,0.57,68.00,0.35,8.00,0.04,6.00,0.03,0.97,57.00,0.30,30.00,0.16,189.00,0.98,0.95,193.00,2.03
75K231,P.S. K231,K231,K,1867.91,703.16,975.06,1600.01,69.00,0.20,86.00,0.25,82.00,0.23,4.00,0.01,110.00,0.31,0.69,350.00,1.00,102.00,0.29,283.00,0.81,0.84,351.00,2.00
20K485,High School of Telecommunication Arts and Technology,K485,K,3471.53,2461.92,3244.85,2688.60,257.00,0.21,74.00,0.06,615.00,0.50,41.00,0.03,248.00,0.20,0.80,227.00,0.18,105.00,0.09,949.00,0.77,0.75,1235.00,1.99
09X443,The Family School,X443,X,1355.42,1105.75,1820.67,465.25,22.00,0.04,148.00,0.27,378.00,0.68,2.00,0.00,5.00,0.01,0.99,147.00,0.27,159.00,0.29,510.00,0.92,0.95,555.00,1.99
08X123,J.H.S. 123 James M. Kieran,X123,X,0.00,823.00,823.00,0.00,12.00,0.03,86.00,0.21,310.00,0.74,6.00,0.01,4.00,0.01,0.99,104.00,0.25,105.00,0.25,359.00,0.86,0.91,418.00,1.97
32K145,P.S. 145 Andrew Jackson,K145,K,657.00,1011.00,1668.00,0.00,1.00,0.00,28.00,0.05,477.00,0.93,2.00,0.00,7.00,0.01,0.99,81.00,0.16,87.00,0.17,450.00,0.87,0.91,515.00,1.96
29Q156,P.S. 156 Laurelton,Q156,Q,2069.25,450.00,35.89,2483.36,7.00,0.03,201.00,0.87,15.00,0.07,4.00,0.02,3.00,0.01,0.99,34.00,0.15,14.00,0.06,150.00,0.65,0.59,230.00,1.96
12X511,Bronx Envision Academy,X511,X,364.94,800.94,652.99,147.95,8.00,0.02,137.00,0.33,249.00,0.60,13.00,0.03,11.00,0.03,0.97,100.00,0.24,70.00,0.17,365.00,0.87,0.89,418.00,1.92
27Q043,P.S. 043,Q043,Q,2347.40,1700.00,2628.00,928.00,26.00,0.03,514.00,0.57,295.00,0.33,16.00,0.02,45.00,0.05,0.95,206.00,0.23,74.00,0.08,836.00,0.93,0.86,896.00,1.90
28Q620,Thomas A. Edison Career and Technical Education High School,Q620,Q,1262.84,4161.85,3284.06,877.79,1065.00,0.49,392.00,0.18,508.00,0.23,141.00,0.06,90.00,0.04,0.96,300.00,0.14,49.00,0.02,1661.00,0.76,0.60,2196.00,1.90
10X118,J.H.S. 118 William W. Niles,X118,X,795.32,2088.82,2086.30,2.52,174.00,0.16,221.00,0.20,671.00,0.61,14.00,0.01,25.00,0.02,0.98,246.00,0.22,137.00,0.12,992.00,0.90,0.87,1105.00,1.89
18K268,P.S. 268 Emma Lazarus,K268,K,1094.99,626.61,1286.60,435.00,3.00,0.01,301.00,0.89,25.00,0.07,1.00,0.00,8.00,0.02,0.98,61.00,0.18,29.00,0.09,272.00,0.81,0.78,338.00,1.85
25Q165,P.S. 165 Edith K. Bergtraum,Q165,Q,3422.57,1315.00,441.00,4737.57,379.00,0.53,84.00,0.12,142.00,0.20,14.00,0.02,95.00,0.13,0.87,174.00,0.24,83.00,0.12,484.00,0.68,0.61,714.00,1.84
29Q243,Institute for Health Professions at Cambria Heights,Q243,Q,20.00,757.58,400.00,377.58,45.00,0.11,291.00,0.71,54.00,0.13,15.00,0.04,8.00,0.02,0.98,43.00,0.10,40.00,0.10,341.00,0.83,0.67,413.00,1.83
19K507,Performing Arts and Technology High School,K507,K,950.00,750.00,1021.00,678.00,7.00,0.02,243.00,0.59,150.00,0.37,5.00,0.01,4.00,0.01,0.99,93.00,0.23,74.00,0.18,366.00,0.90,0.86,409.00,1.83
19K224,P.S. 224 Hale A. Woodruff,K224,K,0.00,690.70,1300.00,0.00,4.00,0.01,247.00,0.63,132.00,0.33,6.00,0.02,6.00,0.02,0.99,93.00,0.24,31.00,0.08,371.00,0.94,0.91,395.00,1.75
17K352,Ebbets Field Middle School,K352,K,0.00,225.05,60.00,165.00,8.00,0.06,91.00,0.68,23.00,0.17,1.00,0.01,10.00,0.08,0.93,40.00,0.30,27.00,0.20,125.00,0.94,0.87,133.00,1.69
17K547,Brooklyn Academy of Science and the Environment,K547,K,716.85,644.00,792.92,567.93,15.00,0.04,305.00,0.80,44.00,0.12,5.00,0.01,13.00,0.03,0.97,62.00,0.16,22.00,0.06,281.00,0.74,0.76,382.00,1.69
07X179,P.S. 179,X179,X,0.00,500.00,450.00,50.00,3.00,0.01,47.00,0.15,254.00,0.82,4.00,0.01,3.00,0.01,0.99,65.00,0.21,67.00,0.22,294.00,0.95,0.93,311.00,1.61
01M015,P.S. 015 Roberto Clemente,M015,M,5.66,276.00,0.00,281.66,24.00,0.14,48.00,0.28,95.00,0.55,1.00,0.01,6.00,0.03,0.97,38.00,0.22,8.00,0.05,145.00,0.83,0.88,174.00,1.59
24Q485,Grover Cleveland High School,Q485,Q,1182.96,2719.56,1591.80,1127.76,172.00,0.10,100.00,0.06,1090.00,0.64,41.00,0.02,312.00,0.18,0.82,329.00,0.19,299.00,0.17,1206.00,0.70,0.74,1715.00,1.59
29Q033,P.S. 033 Edward M. Funk,Q033,Q,806.20,1500.00,1967.71,338.49,465.00,0.49,138.00,0.15,227.00,0.24,82.00,0.09,40.00,0.04,0.96,131.00,0.14,167.00,0.18,726.00,0.76,0.59,952.00,1.58
01M458,Forsyth Satellite Academy,M458,M,338.54,304.39,559.66,83.27,0.00,0.00,84.00,0.43,98.00,0.51,4.00,0.02,8.00,0.04,0.96,62.00,0.32,11.00,0.06,163.00,0.84,0.85,194.00,1.57
15K656,Brooklyn High School of the Arts,K656,K,807.74,1415.00,588.00,1634.74,32.00,0.03,611.00,0.65,201.00,0.21,50.00,0.05,45.00,0.05,0.95,164.00,0.18,10.00,0.01,665.00,0.71,0.65,939.00,1.51
19K089,P.S. 089 Cypress Hills,K089,K,6411.75,700.00,0.00,7111.75,4.00,0.01,11.00,0.02,450.00,0.96,4.00,0.01,0.00,0.00,1.00,112.00,0.24,206.00,0.44,445.00,0.95,0.85,469.00,1.49
20K220,J.H.S. 220 John J. Pershing,K220,K,3766.36,2243.00,1823.06,419.94,764.00,0.50,19.00,0.01,649.00,0.43,6.00,0.00,83.00,0.06,0.95,240.00,0.16,492.00,0.32,1291.00,0.85,0.90,1521.00,1.47
11X326,Bronx Green Middle School,X326,X,175.00,600.00,715.00,60.00,28.00,0.07,73.00,0.18,240.00,0.59,6.00,0.02,60.00,0.15,0.85,87.00,0.21,90.00,0.22,374.00,0.92,0.84,407.00,1.47
15K667,Sunset Park High School,K667,K,1027.16,1751.41,1190.41,616.00,120.00,0.10,91.00,0.08,900.00,0.74,6.00,0.01,99.00,0.08,0.92,258.00,0.21,266.00,0.22,1034.00,0.85,0.86,1216.00,1.44
12X196,P.S. 196,X196,X,2247.55,1267.55,980.00,1267.55,9.00,0.01,124.00,0.14,718.00,0.81,22.00,0.03,12.00,0.01,0.99,184.00,0.21,298.00,0.34,772.00,0.87,0.94,885.00,1.43
09X274,The New American Academy at Roberto Clemente State Park,X274,X,24.00,1002.29,11.00,974.29,0.00,0.00,275.00,0.39,422.00,0.59,10.00,0.01,7.00,0.01,0.99,199.00,0.28,109.00,0.15,698.00,0.98,0.96,714.00,1.40
27Q318,Waterside School For Leadership,Q318,Q,0.00,342.00,342.00,0.00,8.00,0.03,129.00,0.53,82.00,0.34,6.00,0.03,19.00,0.08,0.92,63.00,0.26,23.00,0.09,216.00,0.89,0.78,244.00,1.40
05M046,P.S. 046 Arthur Tappan,M046,M,394.63,825.88,298.00,527.88,6.00,0.01,305.00,0.48,306.00,0.49,7.00,0.01,6.00,0.01,0.99,199.00,0.32,59.00,0.09,586.00,0.93,0.95,630.00,1.31
02M374,Gramercy Arts High School,M374,M,600.00,600.00,0.00,600.00,20.00,0.04,157.00,0.34,232.00,0.50,29.00,0.06,30.00,0.06,0.94,79.00,0.17,10.00,0.02,370.00,0.79,0.74,468.00,1.28
19K171,I.S. 171 Abraham Lincoln,K171,K,0.00,523.50,291.88,231.92,32.00,0.08,37.00,0.09,338.00,0.81,7.00,0.02,4.00,0.01,0.99,79.00,0.19,123.00,0.29,393.00,0.94,0.86,418.00,1.25
02M545,High School for Dual Language and Asian Studies,M545,M,3400.00,500.00,260.00,3700.00,366.00,0.91,9.00,0.02,14.00,0.04,4.00,0.01,9.00,0.02,0.98,13.00,0.03,54.00,0.13,356.00,0.89,0.78,402.00,1.24
75Q177,P.S. Q177,Q177,Q,18000.00,601.56,500.00,18101.56,105.00,0.22,156.00,0.32,103.00,0.21,12.00,0.03,112.00,0.23,0.77,488.00,1.00,118.00,0.24,385.00,0.79,0.81,488.00,1.23
17K600,Clara Barton High School,K600,K,1006.50,1456.50,1100.00,356.50,18.00,0.02,1044.00,0.87,87.00,0.07,40.00,0.03,11.00,0.01,0.99,217.00,0.18,94.00,0.08,895.00,0.75,0.70,1200.00,1.21
09X110,P.S. 110 Theodore Schoenfeld,X110,X,221.00,494.00,354.00,140.00,1.00,0.00,144.00,0.35,228.00,0.56,3.00,0.01,32.00,0.08,0.92,90.00,0.22,71.00,0.17,398.00,0.98,0.95,408.00,1.21
07X005,P.S. 5 Port Morris,X005,X,0.00,823.85,417.39,406.46,3.00,0.00,202.00,0.28,500.00,0.69,6.00,0.01,18.00,0.03,0.98,172.00,0.24,179.00,0.25,701.00,0.96,0.95,729.00,1.13
10X037,P.S. X037 - Multiple Intelligence School,X037,X,980.00,700.00,1361.85,318.15,12.00,0.02,133.00,0.21,465.00,0.74,8.00,0.01,12.00,0.02,0.98,176.00,0.28,97.00,0.15,540.00,0.86,0.86,630.00,1.11
13K351,The Urban Assembly Unison School,K351,K,86.00,177.00,0.00,263.00,4.00,0.03,132.00,0.82,22.00,0.14,1.00,0.01,2.00,0.01,0.99,57.00,0.35,12.00,0.08,131.00,0.81,0.82,161.00,1.10
21K410,Abraham Lincoln High School,K410,K,743.30,2073.36,1429.85,643.51,292.00,0.15,796.00,0.42,470.00,0.25,22.00,0.01,324.00,0.17,0.83,312.00,0.16,336.00,0.18,1428.00,0.75,0.81,1904.00,1.09
02M655,Life Sciences Secondary School,M655,M,165.00,460.50,511.00,114.50,30.00,0.07,109.00,0.26,263.00,0.62,7.00,0.02,16.00,0.04,0.96,92.00,0.22,44.00,0.10,335.00,0.79,0.85,425.00,1.08
75Q256,P.S. Q256,Q256,Q,5262.85,550.00,0.00,5812.85,36.00,0.07,267.00,0.51,156.00,0.30,6.00,0.01,55.00,0.11,0.89,449.00,0.86,73.00,0.14,398.00,0.77,0.88,520.00,1.06
25Q240,Veritas Academy,Q240,Q,58.22,587.00,0.00,645.22,76.00,0.13,71.00,0.13,346.00,0.61,21.00,0.04,53.00,0.09,0.91,103.00,0.18,45.00,0.08,390.00,0.69,0.68,567.00,1.04
24Q296,Pan American International High School,Q296,Q,389.56,389.56,389.56,0.00,0.00,0.00,1.00,0.00,419.00,0.99,2.00,0.01,1.00,0.00,1.00,12.00,0.03,356.00,0.84,356.00,0.84,0.96,423.00,0.92
20K682,The Academy of Talented Scholars,K682,K,52393.80,345.12,0.00,52738.92,89.00,0.23,16.00,0.04,44.00,0.11,7.00,0.02,229.00,0.60,0.41,114.00,0.30,31.00,0.08,162.00,0.42,0.40,385.00,0.90
19K292,J.H.S. 292 Margaret S. Douglas,K292,K,0.00,500.00,500.00,0.00,82.00,0.15,273.00,0.49,181.00,0.32,10.00,0.02,17.00,0.03,0.97,144.00,0.26,90.00,0.16,531.00,0.94,0.92,563.00,0.89
03M415,Wadleigh Secondary School for the Performing & Visual Arts,M415,M,273.50,273.50,4.00,269.50,2.00,0.01,165.00,0.53,128.00,0.41,12.00,0.04,6.00,0.02,0.98,70.00,0.22,9.00,0.03,249.00,0.80,0.87,313.00,0.87
75Q811,P.S. Q811,Q811,Q,2929.39,373.20,1120.23,2182.36,91.00,0.21,134.00,0.31,122.00,0.28,23.00,0.05,61.00,0.14,0.86,431.00,1.00,113.00,0.26,346.00,0.80,0.82,431.00,0.87
02M280,Manhattan Early College School for Advertising,M280,M,1702.39,359.86,250.00,1812.25,41.00,0.10,150.00,0.36,187.00,0.45,16.00,0.04,22.00,0.05,0.95,80.00,0.19,16.00,0.04,304.00,0.73,0.72,416.00,0.87
11X041,P.S. 041 Gun Hill Road,X041,X,742.25,742.25,404.89,337.36,18.00,0.02,426.00,0.49,390.00,0.45,4.00,0.01,24.00,0.03,0.97,166.00,0.19,100.00,0.12,832.00,0.97,0.90,862.00,0.86
30Q230,I.S. 230,Q230,Q,200.00,1062.00,3500.00,1039.69,445.00,0.35,3.00,0.00,735.00,0.58,21.00,0.02,57.00,0.05,0.96,165.00,0.13,176.00,0.14,941.00,0.75,0.72,1261.00,0.84
06M293,City College Academy of the Arts,M293,M,0.00,510.00,383.90,126.00,8.00,0.01,24.00,0.04,556.00,0.91,4.00,0.01,16.00,0.03,0.97,89.00,0.15,33.00,0.05,492.00,0.81,0.79,608.00,0.84
26Q435,Martin Van Buren High School,Q435,Q,907.92,968.30,310.00,658.30,334.00,0.29,528.00,0.45,203.00,0.18,60.00,0.05,37.00,0.03,0.97,133.00,0.11,151.00,0.13,856.00,0.74,0.66,1162.00,0.83
02M400,High School for Environmental Studies,M400,M,81.96,936.65,512.00,506.61,125.00,0.11,180.00,0.16,735.00,0.64,31.00,0.03,75.00,0.07,0.94,217.00,0.19,100.00,0.09,940.00,0.82,0.78,1146.00,0.82
12X057,P.S. 057 Crescent,X057,X,1289.93,456.93,4341.94,224.99,8.00,0.01,142.00,0.25,392.00,0.69,16.00,0.03,13.00,0.02,0.98,133.00,0.23,99.00,0.17,521.00,0.91,0.94,571.00,0.80
07X343,Academy of Applied Mathematics and Technology,X343,X,939.25,238.89,480.65,697.49,6.00,0.02,87.00,0.28,209.00,0.68,2.00,0.01,3.00,0.01,0.99,84.00,0.27,36.00,0.12,285.00,0.93,0.93,307.00,0.78
27Q226,J.H.S. 226 Virgil I. Grissom,Q226,Q,755.68,708.50,1455.00,9.18,298.00,0.33,312.00,0.34,161.00,0.18,125.00,0.14,15.00,0.02,0.98,186.00,0.20,67.00,0.07,788.00,0.87,0.68,911.00,0.78
02M288,Food and Finance High School,M288,M,581.55,288.00,634.45,235.10,21.00,0.06,130.00,0.35,199.00,0.53,15.00,0.04,10.00,0.03,0.97,75.00,0.20,12.00,0.03,310.00,0.83,0.77,375.00,0.77
29Q498,Humanities & Arts Magnet High School,Q498,Q,435.00,336.00,664.87,106.13,27.00,0.06,325.00,0.74,66.00,0.15,13.00,0.03,8.00,0.02,0.98,73.00,0.17,50.00,0.11,364.00,0.83,0.66,439.00,0.77
30Q575,Academy of American Studies,Q575,Q,2560.65,758.00,2712.00,606.65,262.00,0.26,43.00,0.04,352.00,0.35,3.00,0.00,347.00,0.35,0.66,78.00,0.08,26.00,0.03,626.00,0.62,0.53,1007.00,0.75
08X405,Herbert H. Lehman High School,X405,X,833.78,573.00,200.00,1206.78,115.00,0.15,217.00,0.27,374.00,0.47,16.00,0.02,72.00,0.09,0.91,195.00,0.25,102.00,0.13,615.00,0.78,0.77,794.00,0.72
75X010,P.S. X010,X010,X,1250.72,393.00,151.36,1492.00,13.00,0.02,177.00,0.30,355.00,0.61,6.00,0.01,36.00,0.06,0.94,586.00,1.00,146.00,0.25,520.00,0.89,0.92,587.00,0.67
23K392,I.S. 392,K392,K,1311.00,205.00,815.00,496.00,8.00,0.03,239.00,0.78,47.00,0.15,12.00,0.04,1.00,0.00,1.00,49.00,0.16,4.00,0.01,235.00,0.77,0.65,307.00,0.67
02M489,High School of Economics and Finance,M489,M,490.52,490.52,60.00,430.52,161.00,0.22,181.00,0.24,326.00,0.44,14.00,0.02,59.00,0.08,0.92,140.00,0.19,44.00,0.06,561.00,0.76,0.76,741.00,0.66
02M282,Urban Assembly Maker Academy,M282,M,1104.48,255.73,78.05,1282.16,32.00,0.08,107.00,0.27,192.00,0.49,17.00,0.04,42.00,0.11,0.89,76.00,0.20,15.00,0.04,303.00,0.78,0.70,390.00,0.66
18K576,Victory Collegiate High School,K576,K,182.00,218.00,250.00,150.00,5.00,0.02,278.00,0.82,36.00,0.11,8.00,0.02,14.00,0.04,0.96,87.00,0.26,23.00,0.07,254.00,0.75,0.76,341.00,0.64
15K592,Khalil Gibran International Academy,K592,K,1225.88,140.00,1201.60,164.28,40.00,0.18,81.00,0.36,18.00,0.08,14.00,0.06,73.00,0.32,0.68,43.00,0.19,84.00,0.37,185.00,0.82,0.86,226.00,0.62
12X463,Urban Scholars Community School,X463,X,186.00,186.00,88.00,274.00,5.00,0.02,137.00,0.46,154.00,0.51,3.00,0.01,2.00,0.01,0.99,86.00,0.29,45.00,0.15,288.00,0.96,0.96,301.00,0.62
21K559,Life Academy High School for Film and Music,K559,K,0.00,170.00,0.00,170.00,33.00,0.12,89.00,0.31,119.00,0.42,5.00,0.02,40.00,0.14,0.86,68.00,0.24,28.00,0.10,219.00,0.77,0.77,286.00,0.59
19K404,Academy for Young Writers,K404,K,76.16,326.10,36.00,290.16,6.00,0.01,380.00,0.69,151.00,0.27,8.00,0.02,6.00,0.01,0.99,122.00,0.22,19.00,0.03,467.00,0.85,0.81,551.00,0.59
29Q313,Benjamin Franklin High School for Finance & Information Technology,Q313,Q,1118.39,220.00,0.00,1338.39,58.00,0.15,230.00,0.59,65.00,0.17,28.00,0.07,8.00,0.02,0.98,67.00,0.17,51.00,0.13,330.00,0.85,0.68,389.00,0.57
12X316,Kappa III,X316,X,63.05,213.05,127.00,86.05,8.00,0.02,100.00,0.26,273.00,0.71,5.00,0.01,1.00,0.00,1.00,104.00,0.27,38.00,0.10,352.00,0.91,0.90,387.00,0.55
02M439,Manhattan Village Academy,M439,M,1404.53,248.00,942.23,710.30,40.00,0.09,64.00,0.14,287.00,0.64,21.00,0.05,40.00,0.09,0.91,71.00,0.16,9.00,0.02,347.00,0.77,0.67,452.00,0.55
29Q192,I.S. 192 The Linden,Q192,Q,555.28,265.00,425.00,395.28,22.00,0.05,381.00,0.77,51.00,0.10,36.00,0.07,2.00,0.00,1.00,112.00,0.23,40.00,0.08,335.00,0.68,0.58,492.00,0.54
21K329,P.S. 329 Surfside,K329,K,244.26,202.00,165.00,281.26,19.00,0.05,239.00,0.62,110.00,0.28,3.00,0.01,17.00,0.04,0.96,106.00,0.27,16.00,0.04,367.00,0.95,0.92,388.00,0.52
24Q093,I.S. 093 Ridgewood,Q093,Q,680.00,556.00,149.00,1089.00,85.00,0.08,28.00,0.03,810.00,0.72,8.00,0.01,193.00,0.17,0.83,249.00,0.22,153.00,0.14,1008.00,0.90,0.74,1124.00,0.49
18K563,It Takes a Village Academy,K563,K,764.65,320.00,500.00,584.65,12.00,0.02,583.00,0.89,44.00,0.07,13.00,0.02,7.00,0.01,0.99,98.00,0.15,116.00,0.18,454.00,0.69,0.76,659.00,0.49
08X367,"Archimedes Academy for Math, Science and Technology Applications",X367,X,1260.16,317.26,0.00,1577.42,70.00,0.11,178.00,0.27,391.00,0.59,8.00,0.01,12.00,0.02,0.98,179.00,0.27,70.00,0.11,506.00,0.77,0.83,659.00,0.48
29Q035,P.S. 035 Nathaniel Woodhull,Q035,Q,0.00,320.00,0.00,316.80,195.00,0.29,223.00,0.33,176.00,0.26,60.00,0.09,20.00,0.03,0.97,96.00,0.14,95.00,0.14,554.00,0.82,0.71,674.00,0.47
09X350,New Directions Secondary School,X350,X,0.00,108.05,94.05,14.00,2.00,0.01,60.00,0.26,155.00,0.68,8.00,0.04,3.00,0.01,0.99,66.00,0.29,87.00,0.38,216.00,0.95,0.96,228.00,0.47
10X477,Marble Hill High School for International Studies,X477,X,0.00,210.00,0.00,210.00,62.00,0.14,67.00,0.15,291.00,0.65,7.00,0.02,21.00,0.05,0.95,60.00,0.13,133.00,0.30,399.00,0.89,0.86,448.00,0.47
11X021,P.S. 021 Philip H. Sheridan,X021,X,59.38,302.75,250.00,112.13,21.00,0.03,400.00,0.62,194.00,0.30,22.00,0.03,10.00,0.02,0.99,133.00,0.21,69.00,0.11,588.00,0.91,0.87,647.00,0.47
