DBN,School Name,School Code,,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
03M859,Special Music School,M859,M,88956.56,259551.56,143620.00,115932.00,43.00,0.14,31.00,0.10,44.00,0.14,49.00,0.16,147.00,0.47,0.53,39.00,0.12,1.00,0.00,69.00,0.22,0.30,314.00,826.60
02M033,P.S. 033 Chelsea Prep,M033,M,284208.00,515398.00,397937.00,117462.00,149.00,0.24,116.00,0.18,182.00,0.29,56.00,0.09,129.00,0.20,0.80,93.00,0.15,38.00,0.06,308.00,0.49,0.49,632.00,815.50
03M084,P.S. 084 Lillian Weber,M084,M,129620.80,528029.63,356508.20,171521.43,27.00,0.04,47.00,0.07,215.00,0.32,38.00,0.06,336.00,0.51,0.49,108.00,0.16,46.00,0.07,248.00,0.37,0.39,663.00,796.42
75K372,P.S. 372 -The Children's School,K372,K,227597.68,164057.85,51130.76,112927.09,10.00,0.05,39.00,0.19,58.00,0.28,12.00,0.06,88.00,0.43,0.58,207.00,1.00,14.00,0.07,84.00,0.41,0.44,207.00,792.55
02M276,Battery Park City School,M276,M,845829.32,646377.93,623983.47,868223.78,172.00,0.20,34.00,0.04,116.00,0.14,80.00,0.09,447.00,0.53,0.47,156.00,0.18,27.00,0.03,128.00,0.15,0.16,849.00,761.34
15K107,P.S. 107 John W. Kimball,K107,K,104295.23,416712.41,229798.60,291209.04,50.00,0.09,23.00,0.04,60.00,0.11,13.00,0.02,405.00,0.74,0.27,82.00,0.15,15.00,0.03,50.00,0.09,0.09,551.00,756.28
02M003,P.S. 003 Charrette School,M003,M,411932.72,524672.67,646506.77,290098.62,69.00,0.09,39.00,0.05,119.00,0.16,43.00,0.06,461.00,0.63,0.37,143.00,0.20,32.00,0.04,163.00,0.22,0.18,731.00,717.75
02M040,P.S. 040 Augustus Saint-Gaudens,M040,M,666144.00,498759.00,561676.00,603226.00,86.00,0.12,12.00,0.02,99.00,0.14,72.00,0.10,439.00,0.62,0.38,113.00,0.16,18.00,0.03,81.00,0.11,0.14,708.00,704.46
01M315,The East Village Community School,M315,M,114530.64,231777.51,142160.57,89616.94,32.00,0.10,15.00,0.05,77.00,0.23,18.00,0.05,191.00,0.57,0.43,52.00,0.16,5.00,0.02,90.00,0.27,0.34,333.00,696.03
13K020,P.S. 020 Clinton Hill,K020,K,6614.00,324492.96,281322.00,43140.96,14.00,0.03,207.00,0.43,100.00,0.21,28.00,0.06,132.00,0.27,0.73,71.00,0.15,23.00,0.05,281.00,0.58,0.49,481.00,674.62
02M297,M.S. 297,M297,M,29003.54,375060.02,210444.35,163015.67,48.00,0.09,53.00,0.09,129.00,0.23,26.00,0.05,305.00,0.54,0.46,121.00,0.22,19.00,0.03,153.00,0.27,0.30,561.00,668.56
07X031,P.S./M.S. 031 The William Lloyd Garrison,X031,X,3058.00,464423.00,3320.06,15862.00,22.00,0.03,189.00,0.26,473.00,0.66,8.00,0.01,24.00,0.03,0.97,161.00,0.23,94.00,0.13,636.00,0.89,0.91,716.00,648.64
30Q300,The 30th Avenue School (G&T Citywide),Q300,Q,222461.75,339559.42,32433819.00,237682.98,244.00,0.47,22.00,0.04,52.00,0.10,51.00,0.10,155.00,0.30,0.70,24.00,0.05,9.00,0.02,131.00,0.25,0.29,524.00,648.01
02M896,Lower Manhattan Community Middle School,M896,M,248963.74,248963.74,218216.30,30747.44,166.00,0.43,39.00,0.10,61.00,0.16,15.00,0.04,104.00,0.27,0.73,109.00,0.28,23.00,0.06,210.00,0.55,0.54,385.00,646.66
02M312,New York City Lab Middle School for Collaborative Studies,M312,M,354221.49,354221.49,198025.39,156196.10,360.00,0.64,7.00,0.01,30.00,0.05,35.00,0.06,131.00,0.23,0.77,82.00,0.15,9.00,0.02,194.00,0.35,0.37,563.00,629.17
31R005,P.S. 005 Huguenot,R005,R,59049.38,194170.70,169462.61,83757.47,12.00,0.04,0.00,0.00,23.00,0.07,2.00,0.01,276.00,0.88,0.12,71.00,0.23,6.00,0.02,68.00,0.22,0.17,313.00,620.35
02M289,I.S. 289,M289,M,160804.93,174937.51,143031.80,31905.71,138.00,0.49,12.00,0.04,42.00,0.15,8.00,0.03,84.00,0.30,0.70,65.00,0.23,14.00,0.05,150.00,0.53,0.48,284.00,615.98
02M212,P.S. 212 Midtown West,M212,M,297788.14,214533.00,216240.00,341884.00,60.00,0.17,25.00,0.07,85.00,0.23,25.00,0.07,168.00,0.46,0.54,40.00,0.11,8.00,0.02,74.00,0.20,0.25,363.00,591.00
