Timestamp,Age,Gender,What type of phone do you use? (ie. iPhone 11 or Samsung Galaxy S22 Ultra),"How many photos do you have on your phone? (For iPhones, open the Photos app, then go to Albums, then you find the photo count under the Recents album) ","How many of those are screenshots? (For iPhones, open the Photos app, then go to Albums, then scroll to Media Types and look at the number count beside Screenshots)","If you use a camera other than your phone to take photos, what kind is it?",Is your phone the main camera you use? ,Would you say you have practiced photography in this year? 
2/8/23 12:42,17,Female,iPhone 13 ,"58,728.00","16,917.00",,"Yes, majority of my photos are taken on my phone",No
3/9/23 22:31,16,Male,iPhone 13 Pro,"1,344.00",109,,"Yes, majority of my photos are taken on my phone",No
2/7/23 14:21,18,Male,iPhone 14,"2,518.00",304,,"Yes, majority of my photos are taken on my phone",No
2/7/23 14:26,17,Female,iPhone 14,"3,144.00",149,Film camera,"Yes, majority of my photos are taken on my phone",No
3/9/23 21:11,16,Female,iPhone 14,"1,392.00",119,,"Yes, majority of my photos are taken on my phone",No
3/9/23 21:52,15,Male,iPhone 14,"1,108.00",158,,"Yes, majority of my photos are taken on my phone",No
2/7/23 14:15,17,Male,iPhone 14 ,"5,674.00","1,952.00",,"Yes, majority of my photos are taken on my phone",No
2/7/23 20:13,17,Female,iPhone 14 ,"19,364.00","6,625.00",Digital camera,"Yes, majority of my photos are taken on my phone",No
3/10/23 9:09,16,Male,iPhone 14 pro max,18,8,Both,"Yes, majority of my photos are taken on my phone",Yes
3/9/23 21:56,15,Female,iPhone 7,"6,406.00",550,Both,"Yes, majority of my photos are taken on my phone",Yes
2/7/23 14:27,17,Female,iPhone 8,"1,468.00",75,Digital camera,"Yes, majority of my photos are taken on my phone",No
3/9/23 21:25,15,Male,iPhone se,"1,700.00",180,Digital camera,"Yes, majority of my photos are taken on my phone",Yes
3/9/23 22:06,16,Female,iPhone SE,"9,879.00","1,097.00",,"Yes, majority of my photos are taken on my phone",No
3/10/23 8:38,15,Male,iPhone SE,819,36,,"Yes, majority of my photos are taken on my phone",No
3/10/23 10:21,18,Male,iPhone SE,535,219,,"Yes, majority of my photos are taken on my phone",No
3/10/23 10:47,15,Female,iPhone SE,"4,200.00",100,Both,"Yes, majority of my photos are taken on my phone",Yes
2/7/23 14:16,18,Male,iPhone SE ,"5,792.00","2,487.00",,"Yes, majority of my photos are taken on my phone",No
3/9/23 21:11,15,Male,iPhone SE ,"2,550.00",507,Digital camera,"Depends, I use a digital/film camera half of the time and my phone the other half",Yes
3/10/23 10:09,16,Male,iPhone X ,220,33,,"Yes, majority of my photos are taken on my phone",No
3/10/23 9:01,15,Male,iPhone XS,"2,512.00",462,,"Yes, majority of my photos are taken on my phone",Yes
3/9/23 21:12,15,Female,iPhone XS Max,"2,479.00",683,Both,"Yes, majority of my photos are taken on my phone",Yes
3/14/23 12:34,15,Female,iPhone 14,392,42,,"Yes, majority of my photos are taken on my phone",Yes
